Item Name,Type
Soft plastics,Plastic
Spectacles,Other
Stamps,Paper and Cardboard
Sticky tape,Other
Stools and foot stools,Furniture
Sweet packets,Plastic
Sweet wrappers,Plastic
Tables and chairs,Furniture
Tea bags,Food Waste
Telephones,Electrical Appliances
Tetra Packs,Plastic
Tiles - floor and wall,Building Materials
Tin foil,Cans
Tissues,Paper and Cardboard
Toothbrushes,Plastic
Toothpaste Tubes,Plastic
Toys and games,Plastic
TVs,Electrical Appliances
Tyres,Cars
Vacuum cleaners,Electrical Appliances
Vapes,Plastic
Video tapes,Electrical Appliances
Walking aids,Other
Walking sticks,Other
Wallpaper,Paper and Cardboard
Wardrobes,Furniture
Water filters,Other
Wet wipes,Other
"White goods - fridges, freezers, cookers, washing machines, tumble dryers and dishwashers",Electrical Appliances
Windows and Doors,Building Materials
Wine bottles,Glass
Wipes packets,Plastic
Wood and timber,Wood and Timber
Wood ash,Wood and Timber
Wood Clothes hangers,Wood and Timber
Wool,Clothing and Textiles
Wrapping paper,Paper and Cardboard
Yoghurt pots,Plastic
